geocode,Distance2Center,minDist_subcenter,Build_Density,Urb_Build_Density,Pop_Density,Urb_Pop_Density,SF_share,m2cap,Pop_2018,transit_access,Car_HH,Car_cap,Inc_HH,Inc_cap,HH_size,share_65+,tCO2cap_res,tCO2cap_mob,tCO2cap_energy,Region,Country,pkm_cap_Car,pkm_cap_Transit,Pop_2017,city_size,Country_France,Country_Germany,Population,Income_cap_stand,City_Pop,clean_intersection_density_km,street_density_km,bike_lane_share
155018,9.028046084,2.072891107,1201563.306,1228469.729,41.18031985,42.10246445,75.21989403,35.5542924,0,0.549456397,2.132839552,0.729163861,56308.05747,22573.13521,2.494472165,0.176966723,1.202381229,0.8581,2.060481229,Lille,France,3316.5921,1355.7368,1377.716581,2,1,0,1377.716581,1,1081875.957,73.25249416,12132.84346,0.0454
155019,10.97663818,2.135109612,193657.0975,871231.1543,4.330777146,19.48344792,99.18209401,43.08328468,0,0.07915293,1.759709354,1,77008.68401,28879.15655,2.666583558,0.191275253,1.273091424,1.3103,2.583391424,Lille,France,5566.1457,0,1933.216091,2,1,0,1933.216091,2,1081875.957,10.61038913,2771.170013,0
156,7.932876319,2.745663103,2872750.373,2958907.23,45.01015838,46.36006119,52.78011613,37.78741868,0,13.38400023,1.183393709,0.52667562,52733.47665,23224.68218,2.270579044,0.172756046,1.185642573,0.9553,2.140942573,Lille,France,4290.3775,844.4199,19806.53373,2,1,0,19806.53373,1,1081875.957,75.32517139,12320.99447,0.066557895
157,6.571649303,4.005267457,2138481.571,2317792.04,30.71254013,33.28776923,64.89953475,36.3745552,0,10.7995615,1.331221914,0.553392593,59475.00268,25039.46768,2.375250282,0.158824738,1.093140321,0.9761,2.069240321,Lille,France,4359.0303,719.9517,21340.48196,2,1,0,21340.48196,1,1081875.957,56.23894896,12045.96589,0.02987619
101,1.24934756,3.401063162,12334878.9,18761166.22,43.76461225,66.5653203,0.921787819,33.78424432,0,32.20721907,0.543545643,0.293263168,51038.40311,25720.33432,1.98436002,0.128951478,0.614711831,0.5145,1.129211831,Lyon,France,2278.2585,1418.4041,8404.011361,2,1,0,8404.011361,1,1332187.502,61.85992892,12306.10482,0.118833333
102,0.095837583,2.210513183,15008900.37,17880845.6,174.2781138,207.6261396,0.196482379,43.67640212,0,49.14533519,0.638662268,0.332088552,64224.02074,31235.70182,2.05610942,0.185486996,1.1894287,0.4401,1.6295287,Lyon,France,1763.0162,1267.3593,9427.443128,2,1,0,9427.443128,2,1332187.502,111.5621203,17566.47306,0.05135
103,0.928847076,1.569396189,17676865.39,22990173.24,96.65296819,125.7048936,0.527212551,42.11819053,0,47.07416419,0.507036208,0.279831725,56874.45243,29969.78643,1.897726317,0.156436642,1.107385017,0.3384,1.445785017,Lyon,France,1258.851,1775.6787,8948.857462,2,1,0,8948.857462,2,1332187.502,134.5683006,18700.93926,0.0933125
104,1.826851549,1.630589385,13381415.87,17498481.29,181.7117577,237.6190849,0.398062807,39.99600326,0,37.20168845,0.568456271,0.320883305,57712.12061,29514.85884,1.955358178,0.156298541,0.879398393,0.4742,1.353598393,Lyon,France,1755.9391,2029.7973,9511.093167,2,1,0,9511.093167,2,1332187.502,127.651143,18187.04465,0.1177
105,2.021074092,2.293437317,12315804.84,12821750.41,159.9036453,166.4726468,0.733416811,36.98871643,0,23.68615705,0.668488984,0.357839376,50143.24653,26471.86867,1.894208798,0.14714474,1.001892778,0.3407,1.342592778,Lyon,France,1245.898,1795.5741,15979.60083,2,1,0,15979.60083,2,1332187.502,104.2383283,15969.5994,0.146414286
106,2.965420542,2.405434216,7535795.158,8304710.084,154.948267,170.7584148,2.341857453,35.19191449,0,16.86933773,0.840117937,0.440620766,56555.1767,27824.85438,2.032541696,0.153297497,0.890731772,0.4912,1.381931772,Lyon,France,2042.0246,830.3477,13321.51337,2,1,0,13321.51337,2,1332187.502,83.04669951,14269.40283,0.104842857
